label,name,description,example
学生,大一机械,掌握工程制图与CAD基础，适合基础专业比赛与基础志愿,
学生,大二机械,具备理论力学分析与简单机构设计能力，适合入门级比赛与相关志愿,
学生,大三机械,精通三维建模与机械设计，适合精通级比赛与相关志愿,
学生,大四机械,掌握机电系统集成与项目落地能力，适合实战高阶级比赛与专业性实习志愿,
志愿,天津科学技术馆科普志愿服务,对机械力学、物理原理、机械装置、科普仪器做简单口语化讲解，协助科普活动、实验活动与物料整理，解答基础科普问题，适合大二机械学生,http://www.tjstm.com.cn/volunteerApply
志愿,天津自然博物馆科技类讲解志愿服务,讲解机械、力学相关展品，解答相关基础科学问题，适合大一机械学生,https://www.tjnhm.com/comone.aspx?tid=4
志愿,天津市机械工程学会志愿服务,学术会议服务，科普宣讲机械原理、3D打印、机器人、简单机构DIY，做科普小实验，青少年科技活动研学助教，带做模型、简易机械装置，协助整理技术资料、企业调研，适合大三机械学生,https://www.tjmes.cn/article/306/
志愿,天津海洋博物馆机械类讲解志愿服务,讲解海洋机械相关展品，辅助看管机械互动展项，协助开展青少年科技营，带做海洋机械小实验，展品简易维护，检查机械类展品是否有故障，解答海洋工程问题，适合大二机械学生,https://www.nmmc.cc/login?redirect=%2Fvolunteer%2Fwxvolloading
志愿,天津博物馆志愿服务,维护展厅秩序，固定讲解词播报，基础文物展馆科普，活动协助、研学物料整理，展馆设备基础检查，适合大一机械学生,https://www.tjbwg.cn/cn/Joins.aspx
志愿,南开区职业技能大赛志愿服务,赛场布置，签到引导，物料整理，秩序维护，设备简单看管，赛后整理，适合大二机械学生,https://zy.enorth.com.cn/web/activity/Activity!info.action?vo.actId=1068655
志愿,无人机科普志愿服务,讲解无人机的相关知识，组织飞行体验，飞行演示，指导使用无人机，适合大二机械学生,https://zy.enorth.com.cn/web/activity/Activity!info.action?vo.actId=1068814
志愿,户外运动航天科技馆志愿服务活动,讲解航天类展品结构与原理，航天服穿戴指导，研学实验辅助，适合大二机械学生,https://zy.enorth.com.cn/web/activity/Activity!info.action?vo.actId=1068770
志愿,金月湾花园社区磁悬巧思·科技光影科普活动,讲解磁悬浮原理，辅助指导光学小实验、光影装置体验，布置场地，维持秩序，适合大一机械学生,https://zy.enorth.com.cn/web/activity/Activity!info.action?vo.actId=1068990
志愿,迪空间科普馆公益讲解,讲解新能源汽车的相关知识，互动设备看管，解答基础问题，适合大二机械学生,https://zy.enorth.com.cn/web/activity/Activity!info.action?vo.actId=1068570
比赛,全国大学生机械创新设计大赛,国家级工科赛事，面向机械类专业学生，核心考察机械结构创新设计、机构运动实现与实物制作能力,
比赛,全国大学生智能汽车竞赛,国家级控制类赛事，面向自动化、机械、电子类学生，侧重智能车路径规划、传感器应用与嵌入式控制实现,
比赛,全国大学生先进成图技术与产品信息建模创新大赛,国家级制图类赛事，面向机械类学生，重点考察 CAD 二维绘图、三维建模、工程图规范表达能力,
比赛,西门子杯 中国智能制造挑战赛,国家级智能制造类赛事，面向工科学生，侧重 PLC 编程、产线仿真、工业控制与智能制造系统方案设计,
比赛,全国大学生金相技能大赛,国家级材料类赛事，面向材料、机械类学生，核心考察金属试样制备、金相显微镜操作与显微组织分析能力,
比赛,中国大学生机械工程创新创意大赛,国家级机械类综合赛事，包含多个赛道，侧重机械工程创新方案设计、工艺优化与工程实践能力,
比赛,全国大学生机器人大赛（ROBOCON）,国家级机器人赛事，面向工科学生，侧重机器人机构设计、运动控制、多机协同与任务执行能力,
比赛,全国大学生电子设计竞赛,国家级电子类赛事，面向电子、自动化、机械类学生，侧重电路设计、嵌入式开发、系统调试与问题解决能力,
比赛,全国大学生节能减排社会实践与科技竞赛,国家级节能类赛事，面向工科学生，侧重节能减排装置设计、新能源应用方案与社会调研实践能力,
比赛,全国大学生结构设计竞赛,国家级土木 / 机械类交叉赛事，面向工科学生，侧重结构力学分析、模型制作、荷载测试与结构优化能力,
资源,无人机知识,掌握无人机构造结构、飞行力学、操控原理与安全飞行规范，熟练完成科普讲解、飞行演示与基础实操指导，是科技科普、航空类志愿与科创活动的核心基础能力,
资源,基础机械相关专业知识,通晓工程制图、传动结构、力学原理、基础机械构造，能够独立完成机械类展品原理讲解、设备基础观察与简易结构分析，是所有工科科普与专业志愿的底层核心素养,
资源,普通话标准,口齿清晰、表达流畅、表述逻辑规整，具备正式讲解、公众引导、活动主持与科普宣讲的专业表达能力，是展馆讲解、科普志愿、赛事服务的必备硬性条件,
资源,CAD 二维绘图（AutoCAD / 中望 CAD）,机械工程图、零件图、装配图绘制工具，是机械设计类比赛、实操的基础资源,
资源,SolidWorks 三维建模,三维建模、装配、运动仿真工具，支持机械零件设计与虚拟装配，备赛核心工具,
资源,UG/NX 三维建模,高端三维建模与复杂曲面设计工具，支持大型装配与高级仿真，适合高复杂度机械方案,
资源,PLC 编程软件（西门子 TIA Portal）,工业自动化控制编程工具，支持 PLC 程序编写、产线仿真与工业控制逻辑实现,
资源,单片机 / 嵌入式开发软件（Keil MDK）,嵌入式系统开发工具，支持 STM32/51 单片机编程、传感器数据采集与控制逻辑实现,
资源,Altium Designer 电路设计,电子电路原理图绘制、PCB 设计工具，支持从电路设计到制板的全流程开发,
资源,MATLAB 数据处理与仿真,数值计算、算法仿真工具，支持运动控制算法验证、数据处理与方案优化,
资源,ANSYS 有限元分析,结构力学、流体力学仿真工具，支持零件强度校核、结构优化与载荷分析,
资源,金相图像分析软件（Image-Pro）,金相试样显微图像分析工具，支持晶粒统计、组织识别与数据量化分析,
资源,RobotStudio 机器人仿真,工业机器人运动仿真与路径规划工具，支持机器人机构运动模拟与任务调试,
